	YTD	sharpe	alpha	beta	sortino	col0	col1	×î´ó»Ø³·
2015-12月-31	1.101101	0.3945	0.0008	0.0149	2.1808	0.0019	0.0024	-0.03
2016- 1月-29	1.098024	0.0577	0.0032	0.043	0.0942	0.007	0.0083	-0.8128
2016- 2月-29	-2.349921	-1.7073	-0.008	0.1089	-0.7108	0.0036	-0.0066	-2.3499
2016- 3月-31	-0.41456	-0.2747	-0.0009	-0.0076	-0.3331	0.0048	0.0002	-0.1732
2016- 4月-29	-1.198091	-0.2615	-0.0005	0.3773	-0.3278	0.0102	0.0017	-1.3945
2016- 5月-31	1.582571	0.2608	0.0067	0.3644	1.2007	0.014	0.0013	-0.9043
2016- 6月-30	3.601416	0.3506	-0.0489	-4.9336	1.2543	0.0276	0.1891	-1.3011
2016- 7月-29	4.023045	-0.0803	-0.0067	0.8513	-0.1418	0.0459	0.0417	-7.1796
2016- 8月-31	2.374918	0.5279	0.0081	-0.2855	2.3711	0.0106	-0.0009	-0.4412
2016- 9月-30	0.385109	-0.0684	-0.005	-0.9413	-0.1166	0.0142	-0.0064	-1.4413
2016-10月-31	1.881622	0.3668	0.0254	-0.9957	0.8416	0.0119	0.0404	-0.8677
2016-11月-30	-3.998566	-1.5112	-0.0139	0.2769	-0.8676	0.0069	-0.0171	-3.3748
2016-12月-09	-2.499549	0	0	0	0	0	0	0.6427
